Wormbase_Id,gene_name,ID,sequence_1,control_OP50_1,control_OP50_2,sams_1_OP50_1,sams_1_OP50_2,padj,log2FoldChange,pvalue,foldChange,log10padj
WBGene00019896,,R05G6.1,R05G6.1,8.207855185,5.653042242,12.07109965,11.19538396,0.793813726,0.314053564,0.710570291,1,0.100281396
WBGene00020321,,T07F12.1,T07F12.1,94.28500672,73.18333005,125.7885366,114.0837115,0.647168019,0.314008693,0.532735397,1,0.188982952
WBGene00044677,,ZK353.10,ZK353.10,3.094053309,3.77851215,5.715566208,8.128473981,1,0.313929086,0.707594933,1,NA
WBGene00008568,,F08A8.5,F08A8.5a,15.40333597,18.04783423,33.19163632,17.33654838,0.77305119,0.313779843,0.684154039,1,0.111791747
WBGene00014090,,ZK822.2,ZK822.2.2,364.8257774,401.6257049,448.860237,632.5829671,0.497517009,0.313328649,0.372872788,1,0.303192067
WBGene00013885,,ZC412.4,ZC412.4,13.34302459,12.31762305,10.07488189,30.48624382,0.78464283,0.312891108,0.699102902,1,0.10532799
WBGene00018734,,F53A10.2,F53A10.2a,670.1601099,643.3748124,874.5623701,973.8939986,0.439923185,0.312878143,0.31590737,1,0.356623149
WBGene00045012,,K08F4.13,Pseudogene:K08F4.13,9.639265721,35.79900652,34.86338576,32.12779765,0.767975509,0.312735978,0.678112617,1,0.11465263
WBGene00199607,,ZK973.21,ZK973.21,15.60812986,0,32.02791778,0.034569082,0.789155581,0.312549998,0.704493151,1,0.102837368
WBGene00198205,,ZK973.18,ZK973.18,15.60812986,0,32.02791778,0.034569082,0.789155581,0.312549998,0.704493151,1,0.102837368
WBGene00199757,,ZK973.22,ZK973.22,15.60812986,0,32.02791778,0.034569082,0.789155581,0.312549998,0.704493151,1,0.102837368
WBGene00196671,,ZK973.16,ZK973.16,15.60812986,0,32.02791778,0.034569082,0.789155581,0.312549998,0.704493151,1,0.102837368
WBGene00195350,,ZK973.12,ZK973.12,15.60812986,0,32.02791778,0.034569082,0.789155581,0.312549998,0.704493151,1,0.102837368
WBGene00003639,nhr-49,K10C3.6,K10C3.6c.2,4274.884647,3985.377119,5925.718232,5664.289747,0.383541659,0.312477661,0.261906538,1,0.416187458
WBGene00017072,,D2096.5,D2096.5,5.17676721,16.21429577,18.10723941,15.274296,0.789965137,0.312436034,0.705656493,1,0.102392075
WBGene00009205,,F28C6.5,F28C6.5,19.44557964,24.08816622,32.54991226,31.48298624,0.759555313,0.312243883,0.668008457,1,0.119440594
WBGene00019609,,K10B3.1,K10B3.1b,198.8363885,234.110478,257.6417489,353.4473119,0.548760487,0.312024303,0.425540205,1,0.260617167
WBGene00021272,,Y23H5B.1,Y23H5B.1,28.71191026,24.67230297,35.22221043,43.76903343,0.746873691,0.311293532,0.651381449,1,0.126752839
WBGene00007823,,C30H6.5,C30H6.5b,4.155896091,17.18085914,15.09402141,18.31276946,0.792172482,0.311063001,0.708119226,1,0.101180248
WBGene00006717,ubc-22,C06E2.7,C06E2.7,5.158598558,9.510850279,7.050802413,17.26925161,0.796025836,0.310847856,0.71358647,1,0.099072837
WBGene00011465,,T05B9.2,T05B9.2,2.075108288,4.750599642,3.024272021,10.1468522,1,0.310644516,0.70885087,1,NA
WBGene00013153,,Y53F4B.6,Pseudogene:Y53F4B.6,6.207555108,5.695277723,8.082358426,13.04863741,0.797531883,0.309840128,0.71552969,1,0.098251946
WBGene00236789,,Y18H1A.18,Y18H1A.18,3.077859223,0.910535312,4.024049697,5.080049064,1,0.309795405,0.695740553,1,NA
WBGene00000244,bbs-8,T25F10.5,T25F10.5,23.621287,36.16222332,39.24758776,47.84524821,0.742940436,0.309764991,0.645898569,1,0.129046004
WBGene00014992,,ZK1025.1,Pseudogene:ZK1025.1,7.200140896,4.002697836,15.13843521,4.848344598,0.797564338,0.30976248,0.715617383,1,0.098234273
WBGene00019937,,R07E4.3,R07E4.3,274.6615385,323.5858413,337.1510376,505.2320382,0.53291996,0.309208409,0.409094926,1,0.273338013
WBGene00015206,,B0495.7,B0495.7.1,3127.992368,2960.36142,4346.050434,4173.382702,0.391847431,0.308945521,0.269812517,1,0.406882996
WBGene00006777,unc-41,C27H6.1,C27H6.1b,231.638063,316.9510699,340.1644705,428.8447357,0.532882212,0.308919417,0.409032922,1,0.273368777
WBGene00000415,ced-1,Y47H9C.4,Y47H9C.4d,108.2534203,143.7732596,185.418173,168.547001,0.608376456,0.308542985,0.489116302,1,0.215827601
WBGene00009357,,F33C8.2,F33C8.2,2.06646913,2.834209443,6.032500551,4.074136301,1,0.308296616,0.704025769,1,NA
WBGene00018725,kreg-1,F53A9.2,F53A9.2,52.30460691,62.78266292,88.55055804,75.37809946,0.688547288,0.308191204,0.58019764,1,0.162066228
WBGene00017635,,F20D6.5,F20D6.5,48.49442189,33.5192565,58.44500981,60.36584813,0.721484332,0.308112692,0.619801322,1,0.141773096
WBGene00003886,osm-6,R31.3,R31.3,14.3947992,23.79347094,30.1830034,26.47745524,0.770457905,0.308077652,0.680782048,1,0.113251085
WBGene00009398,nspb-11,F35C5.10,F35C5.10,0.033095304,10.52263169,11.06224727,8.147129165,0.795418133,0.307983518,0.712598024,1,0.099404513
WBGene00012457,acbp-6,Y17G7B.1,Y17G7B.1,13.34714901,13.27272242,5.049200346,37.58161052,0.792519998,0.307931072,0.708478987,1,0.10098977
WBGene00017798,slc-17.8,F25G6.7,F25G6.7a,16.45784743,33.33674752,32.20368581,40.7135205,0.758263226,0.307864192,0.666294144,1,0.120180006
WBGene00015453,,C04G6.2,C04G6.2,3.104438384,6.65742969,5.036400357,12.18550828,1,0.307536983,0.717065778,1,NA
WBGene00194678,,R10D12.18,R10D12.18,3.104438384,6.65742969,5.036400357,12.18550828,1,0.307536983,0.717065778,1,NA
WBGene00020967,,W03A5.2,W03A5.2,124.0152493,115.0886179,125.8087494,214.8758688,0.631189608,0.307342748,0.514340314,1,0.19984016
WBGene00011582,ntr-1,T07D10.2,T07D10.2,7.177608912,3.745628443,6.042235643,13.20371379,0.799036206,0.307280063,0.717919298,1,0.097433542
WBGene00007958,,C35C5.9,C35C5.9.2,31.84105611,64.76126237,65.4114377,72.30002419,0.715554492,0.307267893,0.612626137,1,0.145357288
WBGene00020309,,T07D3.6,T07D3.6,6.194795119,14.28936721,9.065644082,23.37117463,0.795199448,0.306884418,0.712155688,1,0.09952393
WBGene00194952,,ZK666.14,ZK666.14,0.014656026,2.853694815,1.010807295,7.09262385,1,0.306758131,0.66977167,1,NA
WBGene00001631,gly-6,H38K22.5,H38K22.5c.1,36.23627087,0,51.04301592,10.99170014,0.798421458,0.306725845,0.717186935,1,0.0977678
WBGene00019434,nmtn-1,K06A5.8,K06A5.8b.1,83.87335409,95.82278524,119.274412,133.8282072,0.643143303,0.30656832,0.528027229,1,0.191692248
WBGene00017195,glo-4,F07C3.4,F07C3.4,838.1925184,720.4564832,1010.42922,1178.659841,0.45501452,0.306543547,0.330255658,1,0.341974744
WBGene00019615,,K10B4.3,K10B4.3,488.7934106,457.7579731,685.3512444,639.7606296,0.478380033,0.306253528,0.35293684,1,0.320226955
WBGene00006505,lagr-1,Y6B3B.10,Y6B3B.10,50.29452535,106.6576044,121.760019,98.81423301,0.682642975,0.305963801,0.573487792,1,0.165806375
WBGene00004457,rpm-1,C01B7.6,C01B7.6,849.4240869,667.5080152,1126.497963,999.5924382,0.475679969,0.305419985,0.350119325,1,0.322685136
